: Source File - D:\aRoot\mRootRhizo\tRIBSVEGGIE_files\UMBS_NetPPT_file_hourly.dat
:
: Start Date - 
: End Date - 
: Time Increment - 1hr
:
: Data - Time(seconds) Recharge (m/s)
: Time[s]	m/s
0	0
3600	0
7200	0
10800	0
14400	0
18000	0
21600	0
25200	0
28800	0
32400	0
36000	0
39600	0
43200	3.04672E-07
46800	0
50400	0
54000	0
57600	0
61200	0
64800	0
68400	0
72000	0
75600	0
79200	0
82800	0
86400	0
90000	0
93600	0
97200	0
100800	0
104400	0
108000	0
111600	0
115200	0
118800	0
122400	0
126000	0
129600	0
133200	0
136800	0
140400	0
144000	0
147600	0
151200	0
154800	0
158400	0
162000	3.04672E-07
165600	4.94854E-07
169200	4.68935E-07
172800	2.99268E-07
176400	2.65655E-07
180000	1.14781E-06
183600	1.1916E-06
187200	6.12267E-07
190800	2.71562E-07
194400	2.08155E-07
198000	1.58751E-07
201600	1.37043E-07
205200	8.68047E-08
208800	5.41139E-08
212400	1.37936E-08
216000	3.83333E-10
219600	0
223200	0
226800	0
230400	1.77963E-06
234000	3.02035E-07
237600	4.39417E-08
241200	1.03806E-08
244800	2.73917E-09
248400	1.28194E-09
252000	1.165E-09
255600	9.925E-10
259200	0
262800	0
266400	0
270000	0
273600	0
277200	0
280800	0
284400	0
288000	0
291600	0
295200	0
298800	0
302400	0
306000	0
309600	0
313200	0
316800	0
320400	0
324000	0
327600	0
331200	0
334800	0
338400	0
342000	0
345600	0
349200	0
352800	0
356400	0
360000	0
363600	0
367200	0
370800	0
374400	0
378000	0
381600	0
385200	0
388800	0
392400	0
396000	0
399600	2.01561E-07
403200	2.83771E-07
406800	6.95614E-08
410400	1.56861E-08
414000	1.12482E-07
417600	9.55289E-08
421200	1.06687E-06
424800	2.63206E-06
428400	2.67689E-06
432000	2.45334E-07
435600	4.69367E-08
439200	2.76186E-08
442800	1.79661E-08
446400	1.18703E-08
450000	7.84556E-09
453600	6.23083E-09
