Kcomp[m2/s] 	
1.5d-8	
soil_node	ssd[-]
106	0.008064516
506	0.008064516
906	0.008064516
1306	0.008064516
1706	0.008064516
2106	0.008064516
2506	0.008064516
2906	0.008064516
3306	0.008064516
3706	0.008064516
4106	0.008064516
4506	0.008064516
4906	0.008064516
5306	0.008064516
5706	0.008064516
6106	0.008064516
6506	0.008064516
6906	0.008064516
7264	0.008064516
7265	0.008064516
7266	0.008064516
7267	0.008064516
7268	0.008064516
7284	0.008064516
7285	0.008064516
7286	0.008064516
7287	0.008064516
7288	0.008064516
7304	0.008064516
7305	0.008064516
7306	0.008064516
7307	0.008064516
7308	0.008064516
7324	0.008064516
7325	0.008064516
7326	0.008064516
7327	0.008064516
7328	0.008064516
7344	0.008064516
7345	0.008064516
7346	0.008064516
7347	0.008064516
7348	0.008064516
7622	0.008064516
7623	0.008064516
7624	0.008064516
7625	0.008064516
7626	0.008064516
7627	0.008064516
7628	0.008064516
7629	0.008064516
7630	0.008064516
7642	0.008064516
7643	0.008064516
7644	0.008064516
7645	0.008064516
7646	0.008064516
7647	0.008064516
7648	0.008064516
7649	0.008064516
7650	0.008064516
7662	0.008064516
7663	0.008064516
7664	0.008064516
7665	0.008064516
7666	0.008064516
7667	0.008064516
7668	0.008064516
7669	0.008064516
7670	0.008064516
7682	0.008064516
7683	0.008064516
7684	0.008064516
7685	0.008064516
7686	0.008064516
7687	0.008064516
7688	0.008064516
7689	0.008064516
7690	0.008064516
7702	0.008064516
7703	0.008064516
7704	0.008064516
7705	0.008064516
7706	0.008064516
7707	0.008064516
7708	0.008064516
7709	0.008064516
7710	0.008064516
7722	0.008064516
7723	0.008064516
7724	0.008064516
7725	0.008064516
7726	0.008064516
7727	0.008064516
7728	0.008064516
7729	0.008064516
7730	0.008064516
7742	0.008064516
7743	0.008064516
7744	0.008064516
7745	0.008064516
7746	0.008064516
7747	0.008064516
7748	0.008064516
7749	0.008064516
7750	0.008064516
7762	0.008064516
7763	0.008064516
7764	0.008064516
7765	0.008064516
7766	0.008064516
7767	0.008064516
7768	0.008064516
7769	0.008064516
7770	0.008064516
7782	0.008064516
7783	0.008064516
7784	0.008064516
7785	0.008064516
7786	0.008064516
7787	0.008064516
7788	0.008064516
7789	0.008064516
7790	0.008064516

